商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节
\t446974700314,汽车用品,保养,保养2025新款,980.47,广东,500+人付款,粤优品汽车店,5年老店,,,,,,
\t960353038337,食品生鲜,粮油,粮油官方正品,344.47,北京,100+人付款,诚信食品店,皇冠店铺,,,,,,
\t765651339105,图书音像,教材,教材2025新款,261.81,香港,1000+人付款,港优品图书店,8年老店,先用后付,,,,,
\t614914975025,服饰鞋包,童装,童装修身2025新款,503.53,天津,2000+人付款,津优品服饰店专卖店,,,,休闲风,羊毛,标准型,春秋季
\t757714643103,家居生活,装饰,装饰官方正品户外,1282.75,北京,500+人付款,时尚家居店旗舰店,回头客3千,,,,,,
\t905663920568,服饰鞋包,鞋靴,鞋靴宽松热销,231.57,广东,100+人付款,优品服饰店专卖店,极速发货,,,通勤风,羊毛,修身型,秋季
\t686006199732,服饰鞋包,配饰,夏季配饰修身热销,398.94,江苏,500+人付款,优品服饰店旗舰店,正品保障,,,休闲风,,宽松型,春季
\t582606287057,礼品鲜花,永生花,永生花官方正品,104.09,江苏,200+人付款,诚信礼品店,金牌卖家,,,,,,
\t739811128413,美妆护肤,彩妆,彩妆高品质,247.71,重庆,10万+人付款,品质美妆店专卖店,,,退货宝,,,,
\t100380359469,母婴用品,奶粉,冬季奶粉百搭热销,499.94,河北,2000+人付款,冀优品母婴店,正品保障,,,通勤风,丝光棉,,
\t537201094142,礼品鲜花,鲜花,鲜花2025新款,1092.49,新疆,2000+人付款,新时尚礼品店旗舰店,回头客1万,,,,,,
\t502718686318,图书音像,少儿,少儿高品质,134.89,贵州,2000+人付款,黔时尚图书店专卖店,回头客3千,,,,,,
\t535720579345,农资园艺,花卉,花卉2025新款,653.64,陕西,500+人付款,优品农资店,极速发货,,退货宝,,,,
\t148243545082,礼品鲜花,定制礼品,定制礼品2025新款,1201.6,上海,2000+人付款,品质礼品店旗舰店,回头客10万,,,,,,
\t936467725759,食品生鲜,水果,水果2025新款,442.49,浙江,1万+人付款,诚信食品店专卖店,回头客10万,,退货宝,,,,
\t800339632999,数码家电,耳机,耳机高品质办公,5126.08,广东,50万+人付款,优品数码店,金牌卖家,,,,,,
\t999594288601,服饰鞋包,男装,秋季男装修身2025新款,809.63,广东,200+人付款,时尚服饰店专卖店,5年老店,先用后付,,,莫代尔,宽松型,春季
\t292329659745,食品生鲜,水果,水果官方正品,381.27,澳门,2000+人付款,时尚食品店专卖店,回头客1万,先用后付,,,,,
\t507337488552,美妆护肤,美发,美发官方正品,596.5,陕西,2000+人付款,品质美妆店专卖店,极速发货,,,,,,
\t976701037743,汽车用品,保养,保养高品质,164.92,广东,200+人付款,优品汽车店,,,,,,,
\t773913836534,食品生鲜,海鲜,海鲜官方正品,33.07,北京,200+人付款,优品食品店,,,,,,,
\t858540530788,运动户外,健身器材,健身器材宽松热销,1298.87,上海,500+人付款,品质运动店专卖店,5年老店,,退货宝,通勤风,,标准型,春秋季
\t704335338129,医药健康,医疗器械,医疗器械高品质,1183.12,湖南,500+人付款,湘优品医药店专卖店,5年老店,,,,,,
\t328739999602,宠物用品,服饰,秋季服饰修身2025新款,245.2,吉林,1万+人付款,品质宠物店专卖店,,,,休闲风,,,冬季
\t810384048621,运动户外,户外装备,冬季户外装备修身热销,298.61,广东,10万+人付款,粤诚信运动店,回头客10万,先用后付,,时尚风,,修身型,
\t284611740518,图书音像,少儿,少儿高品质,149.73,陕西,5000+人付款,陕时尚图书店,皇冠店铺,,,,,,
\t278160660807,家居生活,厨具,厨具高品质办公,1361.41,广东,5000+人付款,粤诚信家居店,皇冠店铺,,,,,,
\t595798312094,数码家电,手机,手机2025新款家用,2947.31,四川,100+人付款,时尚数码店专卖店,金牌卖家,,,,,,
\t659728010848,服饰鞋包,箱包,夏季箱包宽松热销,837.18,广东,1万+人付款,品质服饰店,,,,,,修身型,春季
\t214034336969,医药健康,医疗器械,医疗器械2025新款,1048.22,山东,500+人付款,时尚医药店专卖店,回头客5万,,,,,,
\t146784740556,宠物用品,服饰,秋季服饰百搭2025新款,367.02,河北,500+人付款,诚信宠物店,回头客1万,,,时尚风,,,
