商品id,一级品类,二级品类,商品标题,商品价格,省份,商品销量,店铺名称,店铺标签,先用后付,退货宝,风格,面料,版型,适用季节,销量下限
446974700314,汽车用品,保养,保养2025新款,980.47,广东,500+人付款,粤优品汽车店,5年老店,未提供,未提供,,,,,500
960353038337,食品生鲜,粮油,粮油官方正品,344.47,北京,100+人付款,诚信食品店,皇冠店铺,未提供,未提供,,,,,100
765651339105,图书音像,教材,教材2025新款,261.81,香港,1000+人付款,港优品图书店,8年老店,先用后付,未提供,,,,,1000
614914975025,服饰鞋包,童装,童装修身2025新款,503.53,天津,2000+人付款,津优品服饰店专卖店,,未提供,未提供,休闲风,羊毛,标准型,春秋季,2000
757714643103,家居生活,装饰,装饰官方正品户外,1282.75,北京,500+人付款,时尚家居店旗舰店,回头客3千,未提供,未提供,,,,,500
905663920568,服饰鞋包,鞋靴,鞋靴宽松热销,231.57,广东,100+人付款,优品服饰店专卖店,极速发货,未提供,未提供,通勤风,羊毛,修身型,秋季,100
686006199732,服饰鞋包,配饰,夏季配饰修身热销,398.94,江苏,500+人付款,优品服饰店旗舰店,正品保障,未提供,未提供,休闲风,,宽松型,春季,500
582606287057,礼品鲜花,永生花,永生花官方正品,104.09,江苏,200+人付款,诚信礼品店,金牌卖家,未提供,未提供,,,,,200
739811128413,美妆护肤,彩妆,彩妆高品质,247.71,重庆,10万+人付款,品质美妆店专卖店,,未提供,退货宝,,,,,100000
100380359469,母婴用品,奶粉,冬季奶粉百搭热销,499.94,河北,2000+人付款,冀优品母婴店,正品保障,未提供,未提供,通勤风,丝光棉,,,2000
537201094142,礼品鲜花,鲜花,鲜花2025新款,1092.49,新疆,2000+人付款,新时尚礼品店旗舰店,回头客1万,未提供,未提供,,,,,2000
502718686318,图书音像,少儿,少儿高品质,134.89,贵州,2000+人付款,黔时尚图书店专卖店,回头客3千,未提供,未提供,,,,,2000
535720579345,农资园艺,花卉,花卉2025新款,653.64,陕西,500+人付款,优品农资店,极速发货,未提供,退货宝,,,,,500
148243545082,礼品鲜花,定制礼品,定制礼品2025新款,1201.6,上海,2000+人付款,品质礼品店旗舰店,回头客10万,未提供,未提供,,,,,2000
936467725759,食品生鲜,水果,水果2025新款,442.49,浙江,1万+人付款,诚信食品店专卖店,回头客10万,未提供,退货宝,,,,,10000
800339632999,数码家电,耳机,耳机高品质办公,5126.08,广东,50万+人付款,优品数码店,金牌卖家,未提供,未提供,,,,,500000
999594288601,服饰鞋包,男装,秋季男装修身2025新款,809.63,广东,200+人付款,时尚服饰店专卖店,5年老店,先用后付,未提供,,莫代尔,宽松型,春季,200
292329659745,食品生鲜,水果,水果官方正品,381.27,澳门,2000+人付款,时尚食品店专卖店,回头客1万,先用后付,未提供,,,,,2000
